$GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 06, 2025 18:58:49

*RUN   1        : WW23_G-1                  CSCER048 CIOB2301    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : CIOB2301 WH ROOTS ANATOMY
 DATA PATH      : C:\DSSAT48\Wheat\
 TREATMENT  1   : WW23_G-1                  CSCER048
  
@YEAR DOY   DAS   DAP TMEAN TKILL  GSTD  L#SD PARID PARUD  AWAD  LAID  SAID  CAID  TWAD SDWAD  RWAD  CWAD  LWAD  SWAD  HWAD  HIAD CHWAD  EWAD RSWAD SNWPD SNWLD SNWSD  RS%D  H#AD  HWUD  T#AD  SLAD  RDPD  PTFD  SWXD WAVRD WUPRD  WFTD  WFPD  WFGD  NFTD  NFPD  NFGD NUPRD  TFPD  TFGD VRNFD DYLFD
 2022 327    83     0  17.6  -6.0  0.00  0.00  0.00  0.00   0.0  0.00 0.000  0.00    43    43     0     0     0     0     0  0.00     0     0     0     0     0     0   0.0     0     0   150   -99  0.04  0.00  19.7  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.00  0.50  0.00
 2022 328    84     1  16.4  -6.0  5.84  0.00  0.00  0.00   0.0  0.00 0.000  0.00    43    43     0     0     0     0     0  0.00     0     0     0     0     0     0   0.0     0     0   150   -99  0.04  0.00   7.2  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.00  0.50  0.00
 2022 329    85     2  17.4  -6.0  8.40  0.00  0.00  0.00   0.0  0.00 0.000  0.00    43    41     1     0     0     0     0  0.00     0     0     0     0     0     0   0.0     0     0   150   -99  0.07  0.00   4.4  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.0  0.00  0.00  0.50  0.00
 2022 330    86     3  18.0  -6.0 10.00  0.00  0.00  0.00   0.0  0.00 0.000  0.00    43    40     3     0     0     0     0  0.00     0     0     0     0     0 .0012   0.0     0     0   150   -99  0.09  0.00   3.8  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   2.0  0.00  0.00  0.50  0.00
 2022 331    87     4  16.3  -6.0 10.38  0.38  0.01  0.00   0.0  0.02 0.002  0.02    43    30     4     8     6     3     0  0.00     0     0     0     0     0 .0034   0.0     0     0   150   300  0.12  0.75   4.0  99.9  1.00  0.00  0.00  0.00  0.00  0.00  0.00   0.1  0.00  0.00  0.50  0.39
 2022 332    88     5  16.1  -6.0 10.75  0.75  0.02  1.41   1.6  0.02 0.003  0.03    44    26     5    13     8     5     0  0.00     0     0     1     0 .0849 .0066   9.6     0     0   150   297  0.14  0.71   4.3  99.7  0.49  1.00  0.51  0.62  0.00  0.00  0.00   0.3  0.00  0.00  0.50  0.39
 2022 333    89     6  18.1  -6.0 11.18  1.18  0.03  1.41   2.2  0.03 0.003  0.03    46    21     7    18    10     8     0  0.00     0     0     3     0 0.200 .0113  16.0     0     0   150   297  0.17  0.71   5.8  97.3  0.50  1.00  0.50  0.62  0.01  0.01  0.01   0.3  0.00  0.00  0.50  0.39
 2022 334    90     7  18.5  -6.0 11.61  1.61  0.03  1.49   2.9  0.04 0.004  0.04    48    16     8    25    13    12     0  0.00     0     0     5     0 0.349 .0173  20.8     0     0   150   295  0.20  0.72   7.3  96.6  0.57  0.85  0.43  0.56  0.10  0.10  0.10   0.3  0.00  0.00  0.50  0.39
 2022 335    91     8  19.2  -6.0 12.03  2.03  0.04  1.22   3.1  0.05 0.005  0.05    51    11     9    30    16    14     0  0.00     0     0     6     0 0.541 .0250  21.2     0     0   150   294  0.23  0.72   9.0  90.0  0.57  0.86  0.43  0.56  0.26  0.26  0.26   0.4  0.00  0.00  0.50  0.39
 2022 336    92     9  23.0  -6.0 12.29  2.29  0.04  1.11   3.3  0.05 0.006  0.06    53     9    11    34    17    17     0  0.00     0     0     8     0 0.774 .0359  23.7     0     0   150   293  0.26  0.72  11.0  89.0  0.57  0.86  0.43  0.56  0.32  0.32  0.32   1.0  0.00  0.20  0.50  0.39
 2022 337    93    10  23.0  -6.0 12.56  2.56  0.05  1.37   4.0  0.06 0.007  0.06    57     9    11    37    19    18     0  0.00     0     0     8     0 0.774 .0480  22.6     0     0   150   291  0.29  0.73  13.0  99.9  0.66  0.68  0.34  0.49  0.28  0.28  0.28   1.1  0.00  0.20  0.50  0.40
