,treatment_cultivar,cultivar,variable,value_simulated,value_measured,experiment,position,calibration_code,plantgro_variables,overview_variables,calibration_method,short_label,long_label,treatment
1,WW23_G-1,ENTRY 1,Emergence (DAP),3.0,7.0,CIOB2301 WH ROOTS ANATOMY,2,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
2,WW23_G-1,ENTRY 1,Anthesis (DAP),77.0,97.0,CIOB2301 WH ROOTS ANATOMY,3,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
3,WW23_G-1,ENTRY 1,Maturity (DAP),107.0,140.0,CIOB2301 WH ROOTS ANATOMY,4,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
4,WW23_G-1,ENTRY 1,Product wt (kg dm/ha;no loss),6430.0,6797.0,CIOB2301 WH ROOTS ANATOMY,5,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
5,WW23_G-1,ENTRY 1,Product unit weight (g dm),0.044,0.047,CIOB2301 WH ROOTS ANATOMY,6,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
6,WW23_G-1,ENTRY 1,Product number (no/m2),14617.0,14451.0,CIOB2301 WH ROOTS ANATOMY,7,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
8,WW23_G-1,ENTRY 1,Product harvest index (ratio),0.59,0.43,CIOB2301 WH ROOTS ANATOMY,9,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
9,WW23_G-1,ENTRY 1,Maximum leaf area index,4.2,5.7,CIOB2301 WH ROOTS ANATOMY,10,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
12,WW23_G-1,ENTRY 1,Canopy (tops) wt (kg dm/ha),10825.0,15757.0,CIOB2301 WH ROOTS ANATOMY,13,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
13,WW23_G-1,ENTRY 1,Vegetative wt (kg dm/ha),4395.0,8960.0,CIOB2301 WH ROOTS ANATOMY,14,pest_01_control_data,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,DefCtrl,"PEST, Endpoint Variables, 3 Parameter Groups, Default Control Data",Well Watered 2023
